ID,Control Class,Direct Runs,Expected Risk,Additional Acceptance
C01,Direct use,>=1,HIGH,Story Runs >=1
C02,Direct use,>=1,HIGH,Table Runs >=1
C03,Direct use,>=1,HIGH,Nested Table Runs >=1
C04,Direct use,>=1,HIGH,Footnote Runs >=1
C05,Direct use,>=1,HIGH,Endnote Runs >=1
C06,Direct use,>=1,HIGH,Overset Runs >=1; Pages includes Overset/No page
C07,Direct use,>=1,HIGH,Pages includes Pasteboard/No page
C08,Direct use,>=1,HIGH,Parent/master page identified
C09,Direct use,>=1,HIGH,Location resolves to anchored host page when available
C10,Direct use,>=1,HIGH,Location resolves to group page
C11,Direct use,>=1,HIGH,Hidden-layer page identified
C12,Direct use,>=1,HIGH,Locked-layer page identified
C13,Direct use,>=1,HIGH,Pages resolves across threaded story; must not be No page/Pasteboard
C14,Direct use,>=1,HIGH,Table on parent/master page identified; must not be No page/Pasteboard
D01,Dependency,0,HIGH,Dependency >=1
D02,Dependency,0,HIGH,Dependency >=1
D03,Dependency,0,HIGH,Dependency >=1
D04,Dependency,0,HIGH,Dependency >=1
D05,Instantiated dependency,>=1,HIGH,Hyperlink dependency >=1; direct run is dependency-instantiated
D06,Instantiated dependency,>=1,HIGH,Footnote-marker dependency >=1; sample control characters sanitized
D07,Dependency,0,HIGH,Dependency >=1
E01,Formatting/export,0,LOW,Formatting State = EMPTY SHELL; Export Map Count = 0
E02,Formatting/export,0,HIGH,Export Map Count >=1; Semantic State = EXPORT-MAPPED; ExportMapScanComplete evidence PASS
F01,Fingerprint,0,LOW,Canonical Match Count = 1
F02,Fingerprint,>=1,REPLACE,Canonical Match Count = 1; correct target Canary Canonical F02; delete gate armed
F03,Fingerprint,>=1,HIGH,Canonical Match Count = 0
F04,Fingerprint,>=1,HIGH,Canonical Match Count = 2
P01,Paragraph census,N/A,N/A,Paragraph Unnamed Count >=1; absent from character candidates
